(주)한백,일반전기 공사업,32년차,중소기업,65명,,
21세기메디칼(주),그 외 기타 의료용 기기 제조업,9년차,중소기업,29명,33억,14%
(주)비에이에너지,에너지 저장장치 제조업,8년차,중소기업,31명,63억,5%
(주)서진에스엔피,그 외 기타 전자부품 제조업,5년차,중소기업,24명,63억,17%
(주)가민정보시스템,응용 소프트웨어 개발 및 공급업,28년차,,57명,,
광우메딕스(주),의료기기 도매업,10년차,중소기업,25명,59억,23%
지에프텍(주),기타 표시장치 제조업,16년차,중소기업,89명,,
(유)동명정공,그 외 자동차용 신품 부품 제조업,32년차,중소기업,58명,210억,5%
(주)바이오트코리아,그 외 기타 의료용 기기 제조업,5년차,중소기업,19명,7억,207%
(주)케이비씨플러스,공연 기획업,15년차,대기업,81명,,
제이케이제약(주),화학 살균ㆍ살충제 및 농업용 약제 제조업,10년차,중소기업,4명,9억,14%
(유)창업주류합동상사,주류 도매업,29년차,중소기업,25명,,
(주)라도,자동차 엔진용 신품 부품 제조업,39년차,중소기업,40명,,
씨엔에스(주),사업시설 유지ㆍ관리 서비스업,16년차,중소기업,83명,177억,4%
남도금형(주),주형 및 금형 제조업,26년차,,95명,453억,22%
수완센트럴병원,요양 병원,,중소기업,180명,163억,56%
신진정밀(주),유압기기 제조업,22년차,중소기업,83명,,
(주)현대하이텍,그 외 자동차용 신품 부품 제조업,22년차,중소기업,102명,514억,9%
(주)건화,그 외 기타 1차 철강 제조업,13년차,중소기업,5명,,
에스웰요양병원,요양 병원,,중소기업,170명,140억,4%
(주)마로스튜디오,응용 소프트웨어 개발 및 공급업,14년차,중소기업,22명,29억,103%
싸이버테크(주),"컴퓨터 및 주변장치, 소프트웨어 도매업",,중소기업,84명,405억,29%
(주)옵토닉스,광학렌즈 및 광학요소 제조업,18년차,중소기업,56명,78억,11%
(주)에드업,모바일 게임 소프트웨어 개발 및 공급업,4년차,중소기업,,6억,19828%
(주)금명하이텍,그 외 기타 특수목적용 기계 제조업,9년차,중소기업,서인명,,
광주광역시도시공사,토목시설물 건설업,,,242명,1170억,65%
(주)디씨이솔루션,그 외 기타 전자부품 제조업,18년차,중소기업,80명,716억,10%
