30,노인의 신체적 자기개념 구성요소 및 개념적 구조 = Conceptual Structure and Component of Physical self-concept of the Elderly,이혜정,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과 스포츠심리학 2015. 2,2015,"노인 , 자기개념 , 신체적 자기개념 , 신체활력 , 외모"
31,스포츠 센타 지도자의 라이프 스타일과 직무태도 관계 = The relation between the sport center instructor's lifestyle and job attitude,김광연,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과(일반) 2007. 2,2007,"라이프 스타일과 직무태도 관계 , lifestyle"
32,여고생 화장의 행태 추이분석 및 교육적 접근 : - 2013년과 2016년의 비교와 찬·반 의견 중심으로 - = An Analysis of High School Girls' Behavior Development in Cosmetic Use and An Educational Approach : With a focus on the comparison of 2013 with 2016 and the pros and cons,이효상,학위논문(석사)-- 인천대학교 교육대학원 : 일반사회교육전공 2017. 8,2017,"여고생 , 화장 , 화장품 , 화장 허용 , 교육적 접근"
33,운동시간에 따른 혈관탄성의 변화 = The Change of Vascular Compliance According to Exercise Duration,이현우,학위논문(석사)-- 인천대학교 일반대학원 : 체육학과(일반) 2007. 2,2007,"혈관탄성 , Vascular"
34,"인성, 학습방법, 지능이 과학영재들의 학업성취에 미치는 영향 = A Study about the effect of the Personality, the Learning Method, and the Intelligence on the Scientifically gifted students' Scholastic Achievement",김영안,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2008. 2,2008,"영재 , 학업성취 , 인성 , 지능 , 학습방법"
35,산업체현장실습생의 근로자성에 대한 연구 : 관련 판례 분석 및 설문조사를 이용하여,이진표,학위논문(석사)-- 인천대학교 교육대학원 : 전자교육전공 2019. 8,2019,"산업체현장실습 , 산업체현장실습생 , 근로자성 , 근로기준법 , 처우개선"
36,병원사례를 통한 의료보호제도 개선방안 연구 = A Study on the Improvement Plans of the Medical Assistance Program -Focused on the case of hospitals-,김순미,학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과 2008. 8,2008,"병원사례를 통한 의료보호제도 개선방안 연구 인천대학교 행정대학원 사회복지학과 김 순 미 국민기초생활보장법이 경제위기 및 대량 실업 등으로 위기에 직면해 있던 저소득 빈곤층의 실업과 빈곤의 문제를 , ABSTRACT , A , Study , on , the , Improvement , Plans , of , the , Medical , Assistance , Program , -Focused , on , the , case , of , hospitals , Kim , Sun , Mi , Department , of , Social , Welfare , Graduate , School , of , Pubic , Administrati"
37,ASP를 이용한 전공선택 데이터베이스 시스템 설계 및 구현 = Design and Implementation of a Database System for a Major Selecting using ASP,김학희,학위논문(석사)-- 인천대학교 대학원: 경영학과 2004. 2,2004,"ASP , 전공선택 , 데이터베이스 시스템 , 데이터베이스"
38,海上保險에 있어서 擔保(Warranty)의 理論的 體系와 實務適用에 관한 硏究,이창길,학위논문 -- 인천대학교 대학원 : 무역학과 국제상학전공 2001,2001,
39,디지털 정보시대에서 잊혀질 권리의 인식 비교 평가,김유민,학위논문(석사)-- 인천대학교 대학원 : 경영학과 2014. 8,2014,
